Rank,Release,Lifetime Gross,Max Theaters,Opening,Open Th,Release Date,Distributor
62,Howard the Duck,"$16,295,774 ","1,563","$5,070,136 ","1,554",1986-08-01,Universal Pictures
54,Blade,"$70,087,718 ","2,389","$17,073,856 ","2,322",1998-08-21,New Line Cinema
43,X-Men,"$157,299,718 ","3,112","$54,471,475 ","3,025",2000-07-14,Twentieth Century Fox
53,Blade II,"$82,348,319 ","2,707","$32,528,016 ","2,707",2002-03-22,New Line Cinema
10,Spider-Man,"$403,706,375 ","3,876","$114,844,116 ","3,615",2002-05-03,Sony Pictures Entertainment (SPE)
64,Spider-Man/Men in Black II,"$6,632,970 ","2,078","$2,111,862 ","2,078",2002-09-06,Sony Pictures Entertainment (SPE)
52,Daredevil,"$102,543,518 ","3,474","$40,310,419 ","3,471",2003-02-14,Twentieth Century Fox
31,X2: X-Men United,"$214,949,694 ","3,749","$85,558,731 ","3,741",2003-05-02,Twentieth Century Fox
49,Hulk,"$132,177,234 ","3,674","$62,128,420 ","3,660",2003-06-20,Universal Pictures
59,The Punisher,"$33,810,189 ","2,649","$14,000,000 ","2,649",2004-04-16,Lionsgate
13,Spider-Man 2,"$373,585,825 ","4,166","$88,156,227 ","4,152",2004-06-30,Sony Pictures Entertainment (SPE)
57,Blade: Trinity,"$52,411,906 ","2,912","$16,100,000 ","2,912",2004-12-08,New Line Cinema
60,Elektra,"$24,409,722 ","3,204","$12,804,793 ","3,204",2005-01-14,Twentieth Century Fox
45,Fantastic Four,"$154,696,080 ","3,619","$56,061,504 ","3,602",2005-07-08,Twentieth Century Fox
24,X-Men: The Last Stand,"$234,362,462 ","3,714","$102,750,665 ","3,690",2006-05-26,Twentieth Century Fox
51,Ghost Rider,"$115,802,596 ","3,620","$45,388,836 ","3,619",2007-02-16,Sony Pictures Entertainment (SPE)
15,Spider-Man 3,"$336,530,303 ","4,324","$151,116,516 ","4,252",2007-05-04,Sony Pictures Entertainment (SPE)
50,Fantastic 4: Rise of the Silver Surfer,"$131,921,738 ","3,963","$58,051,684 ","3,959",2007-06-15,Twentieth Century Fox
18,Iron Man,"$318,604,126 ","4,154","$98,618,668 ","4,105",2008-05-02,Paramount Pictures
47,The Incredible Hulk,"$134,806,913 ","3,508","$55,414,050 ","3,505",2008-06-13,Universal Pictures
63,Punisher: War Zone,"$8,050,977 ","2,508","$4,271,451 ","2,508",2008-12-05,Lionsgate
40,X-Men Origins: Wolverine,"$179,883,157 ","4,102","$85,058,003 ","4,099",2009-05-01,Twentieth Century Fox
21,Iron Man 2,"$312,433,331 ","4,390","$128,122,480 ","4,380",2010-05-07,Paramount Pictures
38,Thor,"$181,030,624 ","3,963","$65,723,338 ","3,955",2011-05-06,Paramount Pictures
46,X-Men: First Class,"$146,408,305 ","3,692","$55,101,604 ","3,641",2011-06-03,Twentieth Century Fox
41,Captain America: The First Avenger,"$176,654,505 ","3,715","$65,058,524 ","3,715",2011-07-22,Paramount Pictures
58,Ghost Rider: Spirit of Vengeance,"$51,774,002 ","3,174","$22,115,334 ","3,174",2012-02-17,Sony Pictures Entertainment (SPE)
5,The Avengers,"$623,357,910 ","4,349","$207,438,708 ","4,349",2012-05-04,Walt Disney Studios Motion Pictures
22,The Amazing Spider-Man,"$262,030,663 ","4,318","$62,004,688 ","4,318",2012-07-03,Sony Pictures Entertainment (SPE)
8,Iron Man 3,"$409,013,994 ","4,253","$174,144,585 ","4,253",2013-05-03,Walt Disney Studios Motion Pictures
48,The Wolverine,"$132,556,852 ","3,924","$53,113,752 ","3,924",2013-07-26,Twentieth Century Fox
34,Thor: The Dark World,"$206,362,140 ","3,841","$85,737,841 ","3,841",2013-11-08,Walt Disney Studios Motion Pictures
23,Captain America: The Winter Soldier,"$259,766,572 ","3,938","$95,023,721 ","3,938",2014-04-04,Walt Disney Studios Motion Pictures
35,The Amazing Spider-Man 2,"$202,853,933 ","4,324","$91,608,337 ","4,324",2014-05-02,Sony Pictures Entertainment (SPE)
25,X-Men: Days of Future Past,"$233,921,534 ","4,001","$90,823,660 ","3,996",2014-05-23,Twentieth Century Fox
17,Guardians of the Galaxy,"$333,176,600 ","4,088","$94,320,883 ","4,080",2014-08-01,Walt Disney Studios Motion Pictures
29,Big Hero 6,"$222,527,828 ","3,773","$56,215,889 ","3,761",2014-11-07,Walt Disney Studios Motion Pictures
6,Avengers: Age of Ultron,"$459,005,868 ","4,276","$191,271,109 ","4,276",2015-05-01,Walt Disney Studios Motion Pictures
39,Ant-Man,"$180,202,163 ","3,868","$57,225,526 ","3,856",2015-07-17,Walt Disney Studios Motion Pictures
56,Fantastic Four,"$56,117,548 ","4,004","$25,685,737 ","3,995",2015-08-07,Twentieth Century Fox
14,Deadpool,"$363,070,709 ","3,856","$132,434,639 ","3,558",2016-02-12,Twentieth Century Fox
9,Captain America: Civil War,"$408,084,349 ","4,226","$179,139,142 ","4,226",2016-05-06,Walt Disney Studios Motion Pictures
44,X-Men: Apocalypse,"$155,442,489 ","4,153","$65,769,562 ","4,150",2016-05-27,Twentieth Century Fox
26,Doctor Strange,"$232,641,920 ","3,882","$85,058,311 ","3,882",2016-11-04,Walt Disney Studios Motion Pictures
27,Logan,"$226,277,068 ","4,071","$88,411,916 ","4,071",2017-03-03,Twentieth Century Fox
12,Guardians of the Galaxy Vol. 2,"$389,813,101 ","4,347","$146,510,104 ","4,347",2017-05-05,Walt Disney Studios Motion Pictures
